id,name,classification,size,special_notes,habitat_hokkaido,habitat_honshu,habitat_shikoku,habitat_kyushu,habitat_islands,type,season,rarity,description,photo_url,observed_date,observed_location,学名,sub-sp
1,アビ,アビ目 アビ科 アビ属,63cm,,1,1,1,1,1,海鳥,冬鳥,2,,,,,Gavia stellata,
2,オオハム,アビ目 アビ科 アビ属,70cm,,1,1,1,1,1,海鳥,冬鳥,2,,,,,Gavia arctica,
3,シロエリオオハム,アビ目 アビ科 アビ属,67cm,,1,1,1,1,1,海鳥,冬鳥,2,,,,,Gavia pacifica,
4,ハシグロアビ,アビ目 アビ科 アビ属,75cm,,1,1,1,1,1,海鳥,冬鳥,4,,,,,Gavia immer,
5,ハシジロアビ,アビ目 アビ科 アビ属,80cm,,1,1,1,1,1,海鳥,冬鳥,4,,,,,Gavia adamsii,
6,ヒマラヤアナツバメ,アマツバメ目 アマツバメ科,13-14cm,,0,0,0,0,0,ツバメ類,迷鳥,5,,,,,Aerodramus brevirostris,
7,アマツバメ,アマツバメ目 アマツバメ科 アマツバメ属,20cm,,1,1,1,1,1,ツバメ類,夏鳥,2,,,,,Apus pacificus,
8,ハリオアマツバメ,アマツバメ目 アマツバメ科 ハリオアマツバメ属,21cm,,1,1,1,1,0,ツバメ類,夏鳥,2,,,,,Hirundapus caudacutus,
9,ヒメアマツバメ,アマツバメ目 アマツバメ科 ヒメアマツバメ属,13cm,,0,1,1,1,1,ツバメ類,留鳥,2,,,,,Apus nipalensis,
10,アカエリカイツブリ,カイツブリ目 カイツブリ科 カイツブリ属,48cm,,1,1,1,1,1,その他,冬鳥,2,,,,,Podiceps grisegena,
11,カイツブリ,カイツブリ目 カイツブリ科 カイツブリ属,26cm,,1,1,1,1,1,その他,留鳥,1,,,,,Tachybaptus ruficollis,
12,カンムリカイツブリ,カイツブリ目 カイツブリ科 カイツブリ属,56cm,,1,1,1,1,1,その他,冬鳥,1,,,,,Podiceps cristatus,
13,ハジロカイツブリ,カイツブリ目 カイツブリ科 カイツブリ属,30cm,,1,1,1,1,1,その他,冬鳥,2,,,,,Podiceps nigricollis,
14,ミミカイツブリ,カイツブリ目 カイツブリ科 カイツブリ属,34cm,,1,1,1,1,1,その他,冬鳥,2,,,,,Podiceps auritus,
15,チシマウガラス,カツオドリ目 ウ科,76-89cm,"絶滅危惧IA類(CR), 国内希少野生動植物種",1,1,0,0,1,海鳥,冬鳥,5,,,,,Phalacrocorax urile,
16,ウミウ,カツオドリ目 ウ科 ウ属,84cm,,1,1,1,1,1,海鳥,留鳥,2,,,,,Phalacrocorax capillatus,
17,ヒメウ,カツオドリ目 ウ科 ウ属,54cm,,1,1,1,1,1,海鳥,留鳥,2,,,,,Phalacrocorax pelagicus,
18,カワウ,カツオドリ目 ウ科 カワウ属,81cm,,1,1,1,1,1,その他,留鳥,1,,,,,Phalacrocorax carbo,
19,アオアシカツオドリ,カツオドリ目 カツオドリ科 カツオドリ属,80cm,,0,0,0,0,0,海鳥,迷鳥,5,,,,,Sula nebouxii,
20,アオツラカツオドリ,カツオドリ目 カツオドリ科 カツオドリ属,88cm,,0,0,0,0,1,海鳥,留鳥,4,,,,,Sula dactylatra,
21,アカアシカツオドリ,カツオドリ目 カツオドリ科 カツオドリ属,71cm,,0,0,0,0,1,海鳥,留鳥,4,,,,,Sula sula,
22,カツオドリ,カツオドリ目 カツオドリ科 カツオドリ属,76cm,,0,1,1,1,1,海鳥,留鳥,3,,,,,Sula leucogaster,
23,オオグンカンドリ,カツオドリ目 グンカンドリ科 グンカンドリ属,100cm,,0,0,0,0,0,海鳥,迷鳥,5,,,,,Fregata minor,
24,コグンカンドリ,カツオドリ目 グンカンドリ科 グンカンドリ属,80cm,,0,0,0,0,0,海鳥,迷鳥,5,,,,,Fregata ariel,
25,シロハラグンカンドリ,カツオドリ目 グンカンドリ科 グンカンドリ属,93cm,,0,0,0,0,0,海鳥,迷鳥,5,,,,,Fregata andrewsi,
26,オウチュウカッコウ,カッコウ目 カッコウ科,24-25cm,,0,0,0,0,0,トケン,迷鳥,5,,,,,Surniculus lugubris,
27,オオジュウイチ,カッコウ目 カッコウ科,40cm,,0,0,0,0,0,トケン,迷鳥,5,,,,,Hierococcyx sparverioides,
28,キジカッコウ,カッコウ目 カッコウ科,40cm,,0,0,0,0,0,トケン,迷鳥,5,,,,,Urodynamis taitensis,
29,セグロカッコウ,カッコウ目 カッコウ科,33cm,,0,1,0,1,1,トケン,旅鳥,4,,,,,Cuculus micropterus,
30,バンケン,カッコウ目 カッコウ科,31-42cm,,0,0,0,0,0,トケン,迷鳥,5,,,,,Centropus bengalensis,
31,オニカッコウ,カッコウ目 カッコウ科 オニカッコウ属,40cm,,0,0,0,0,0,トケン,迷鳥,5,,,,,Eudynamys scolopaceus,
32,カッコウ,カッコウ目 カッコウ科 カッコウ属,35cm,,1,1,1,1,0,トケン,夏鳥,1,,,,,Cuculus canorus,
33,ツツドリ,カッコウ目 カッコウ科 カッコウ属,33cm,,1,1,1,1,0,トケン,夏鳥,1,,,,,Cuculus optatus,
34,ホトトギス,カッコウ目 カッコウ科 カッコウ属,28cm,,1,1,1,1,1,トケン,夏鳥,1,,,,,Cuculus poliocephalus,
35,カンムリカッコウ,カッコウ目 カッコウ科 カンムリカッコウ属,40cm,,0,0,0,0,0,トケン,迷鳥,5,,,,,Clamator coromandus,
36,ジュウイチ,カッコウ目 カッコウ科 ジュウイチ属,32cm,,1,1,1,1,0,トケン,夏鳥,2,,,,,Hierococcyx hyperythrus,
37,ヒメカッコウ,カッコウ目 カッコウ科 ヒメカッコウ属,23cm,,0,0,0,0,0,トケン,迷鳥,5,,,,,Cacomantis merulinus,
38,アカノドカルガモ,カモ目 カモ科,48-58cm,絶滅危惧II類(VU),0,0,0,0,0,ガンカモ,迷鳥,5,,,,,Anas luzonica,
39,アカハシハジロ,カモ目 カモ科,50cm,,0,1,0,1,1,ガンカモ,冬鳥,4,,,,,Netta rufina,
40,アカハジロ,カモ目 カモ科,46cm,絶滅危惧IA類(CR),0,0,0,0,0,ガンカモ,冬鳥,4,,,,,Aythya baeri,
41,アメリカホシハジロ,カモ目 カモ科,49cm,,0,0,0,0,0,ガンカモ,迷鳥,5,,,,,Aythya americana,
42,オオホシハジロ,カモ目 カモ科,55cm,,1,1,0,0,0,ガンカモ,冬鳥,4,,,,,Aythya valisineria,
43,カンムリツクシガモ,カモ目 カモ科,60cm,絶滅(CR) (1971年以降国内記録なし),0,0,0,0,0,ガンカモ,迷鳥,5,,,,,Tadorna cristata,
